wavelet_mean,sample_entropy,shannon_entropy,rms
5.262374030044964e-06,0.9289190397869616,0.8041102571093497,5.946334324451762e-06
9.694405695880797e-06,0.3651423140979934,0.4960200059324874,1.591297825723857e-05
8.924618177470489e-06,0.6142470148081202,0.6772954180920191,1.050323326237586e-05
1.546380753352925e-05,0.5336361604418589,0.7289937629593154,1.772322148227563e-05
1.71142774159347e-05,0.4801380811572032,0.6740913105872688,2.039241216976537e-05
8.06899789584726e-06,0.7853892771229405,0.715481961700879,1.224190208807033e-05
3.352903821048643e-06,1.573727809817119,0.8278115575742989,4.043478729160652e-06
3.498043128992741e-06,1.475554824948834,0.8020607383528491,4.417017721533296e-06
4.829811183474716e-06,0.954436762856852,0.7988288708556186,5.902119870034194e-06
4.06569657496955e-06,1.191723322077836,0.8277310205249859,4.764292463757299e-06
4.774701183325633e-06,1.138147695839502,0.8252041065058546,5.653232379730475e-06
5.292124095055578e-06,1.000502152657048,0.8053499485277712,6.464627911345074e-06
9.273291829203475e-06,0.3797198529701123,0.4322133124302964,1.958507630292857e-05
1.046673669714007e-05,0.3942038028417219,0.383397364508433,2.123388914803354e-05
4.839145685489516e-06,1.198929642553104,0.8139985000086504,5.139930068814023e-06
4.67596214518682e-06,1.286114224619214,0.82712817663211,5.278440125881798e-06
5.536742900262469e-06,1.04285205182885,0.787175943696156,6.303214135821288e-06
4.349534274507923e-06,1.095948111987733,0.8222724852060792,4.933705331722483e-06
4.304371827862744e-06,1.259030765546823,0.8426629975030597,4.998637737714197e-06
3.929980340020108e-06,1.240138985970091,0.8593985433939536,4.696766298249987e-06
5.071112221300451e-06,0.9351737407374877,0.6470366287501914,7.38158633288534e-06
4.274294091477053e-06,1.24923426461757,0.8343752494658118,4.557007019173145e-06
5.680975264489376e-06,0.852024860023472,0.7141869248876646,7.394480788993015e-06
6.189138755635201e-06,0.9013871185179382,0.7898023710169377,7.581625766722005e-06
7.867230216526941e-06,0.6569117417486443,0.7313013541654404,1.026515621769342e-05
4.070389566600215e-06,1.344845514439858,0.8524856430792496,5.065848584522352e-06
5.172107821702152e-06,0.9962980365239834,0.7924526925794482,5.787221252169149e-06
4.418230969978175e-06,1.122367467502961,0.7671455026542354,4.744969710051438e-06
4.146007502736427e-06,1.321890376824479,0.8326367919508099,4.772361380016041e-06
4.579740010518485e-06,1.081845114018856,0.8097591879829578,5.034604415583339e-06
5.012843240731872e-06,1.080899964319883,0.788882353466859,5.367588921728101e-06
